
daily
Date,Crop,Stage,TraDef,Tra,NDef,TempSum,AbBiom,Yield,LAI,TotBiomN,AbBiomN,Mois,Mois,Mois_7,Mois_8,Mois_9,Precip,Irrig,SurfTemp,STemp_1,STemp_2,STemp_3,Tmin,Tavg,Tmax,Wind,Globrad,Relhumid,NFert
1990-02-10,,0,0,0,0,0,0,0,0,0,0,0.2396924399475413,0.21803193075200478,0.218,0.218,0.218,2.6,0,4,5.2,6.1,6.4,-0.3,3.1,7,3.7,6.26,77,0
1990-02-11,,0,0,0,0,0,0,0,0,0,0,0.2413968688985634,0.22191698082166886,0.219,0.219,0.218,2.5,0,4.3,4.9,5.7,6.1,1.9,4.4,7,5.5,6.94,84,0
1990-02-12,,0,0,0,0,0,0,0,0,0,0,0.24242474592632843,0.2249035781851394,0.224,0.223,0.222,3.6,0,3.4,4.2,5.2,5.7,0,3,6,5.5,6.33,82,0
1990-02-13,,0,0,0,0,0,0,0,0,0,0,0.24408491990625655,0.22638711452137447,0.226,0.226,0.226,5.7,0,2.5,3.5,4.6,5.3,0.3,1.9,4,3.7,5.82,87,0
1990-02-14,,0,0,0,0,0,0,0,0,0,0,0.24430230399583616,0.22719781788460272,0.227,0.227,0.227,8.4,0,3.1,3.5,4.4,5,0.8,3.2,6,6,3.97,86,0
1990-02-15,,0,0,0,0,0,0,0,0,0,0,0.2457049628728869,0.2269951124928602,0.227,0.227,0.227,6.9,0,2.1,3,4,4.7,0.3,1.5,3,3.1,2.75,95,0
1990-02-16,,0,0,0,0,0,0,0,0,0,0,0.24264832050351215,0.22487105354792777,0.225,0.225,0.225,0.8,0,1.5,2.4,3.5,4.3,-0.2,1.6,4,3.7,6.42,86,0
1990-02-17,,0,0,0,0,0,0,0,0,0,0,0.23866608844939144,0.2232195084080478,0.224,0.224,0.224,0,0,1.6,2.2,3.2,4,-2.7,1.5,6,2.7,10.72,81,0
1990-02-18,,0,0,0,0,0,0,0,0,0,0,0.23674443708301918,0.2219158397711336,0.223,0.223,0.223,0.3,0,6.1,4.5,4,4.2,5.2,8,11,3.3,3.14,87,0
1990-02-19,,0,0,0,0,0,0,0,0,0,0,0.23345648673328637,0.22086351391968853,0.222,0.222,0.222,0,0,9.6,7.2,5.5,4.9,7,10.4,14,3.1,10.99,79,0
1990-02-20,,0,0,0,0,0,0,0,0,0,0,0.2304233227652408,0.21999908223362077,0.221,0.221,0.222,0,0,11,8.9,6.9,5.9,9.2,11.8,14,3.1,6.83,78,0
1990-02-21,wheat/winter wheat,1,1,0,1,0,53,0,0.106,4.2,3.2,0.22830148958901667,0.21931316638729392,0.22,0.221,0.221,0,0,11.3,9.8,7.9,6.8,4.5,10.3,16,3.3,11.88,71,0
1990-02-22,wheat/winter wheat,1,1,0,1,0,53,0,0.106,4.2,3.2,0.22694286707778685,0.21878058967239436,0.22,0.22,0.221,0,0,9.7,9.4,8.2,7.3,0.8,7.2,14,0.8,12.93,63,0
1990-02-23,wheat/winter wheat,1,1,0,1,0,53,0,0.106,4.2,3.2,0.22539730227639965,0.21835677237972384,0.219,0.22,0.22,0,0,10.3,9.6,8.6,7.8,1.7,8.7,16,1.5,12.9,74,0
1990-02-24,wheat/winter wheat,1,1,0,1,0,53,0,0.106,4.2,3.2,0.2235790465886689,0.2180084527445464,0.219,0.219,0.22,0,0,11.3,10.3,9.1,8.2,3.8,10.6,17,3.1,11.79,75,0
1990-02-25,wheat/winter wheat,1,1,0,1,0,53,0,0.106,4.2,3.2,0.2283764065574687,0.21771171826617083,0.219,0.219,0.219,2.2,0,12.1,11,9.6,8.7,9.6,12.1,15,4.9,9.05,69,0
1990-02-26,wheat/winter wheat,1,1,0,1,0,53,0,0.106,4.2,3.2,0.2440214201042562,0.22594699628842885,0.225,0.224,0.224,10.6,0,8.3,9.3,9.2,8.8,2.4,6.5,11,9.7,4.72,81,0
1990-02-27,wheat/winter wheat,1,1,0,1,0,53,0,0.106,4.2,3.2,0.25647454337513437,0.2274879768332209,0.227,0.227,0.227,13.7,0,3.8,6.3,7.8,8.2,-0.2,1.8,4,7,4.75,87,0
1990-02-28,wheat/winter wheat,1,1,0,1,0,53,0,0.106,4.2,3.2,0.25734321549266154,0.2275382039496474,0.228,0.228,0.228,10.6,0,4.5,5.6,6.9,7.5,1.5,4.7,8,7.9,4,81,0
1990-03-01,wheat/winter wheat,1,1,0,1,0,53,0,0.106,4.2,3.2,0.2689349745363078,0.22754279043593093,0.228,0.228,0.228,13.7,0,3.5,4.7,6.1,6.9,0.2,3.1,6,6.7,6.95,86,0
1990-03-02,wheat/winter wheat,1,1,0,1,0,53,0,0.106,4.2,3.2,0.24597098645630253,0.22726922133375002,0.227,0.227,0.227,1,0,2,3.5,5.2,6.2,-0.9,1.1,3,3.7,10.89,85,0
1990-03-03,wheat/winter wheat,1,1,0,1,0,53,0,0.106,4.2,3.2,0.2411795088969877,0.22469633418656162,0.225,0.225,0.225,0.3,0,1.1,2.6,4.3,5.4,-1,1.8,5,3.6,4.6,86,0
1990-03-04,wheat/winter wheat,1,1,0,1,0,53,0,0.106,4.2,3.2,0.2403274932162465,0.22351370525593608,0.224,0.224,0.224,1.1,0,3.1,3.2,4.2,5,2.9,4,5,5,3.91,80,0
1990-03-05,wheat/winter wheat,1,1,0,1,0,53,0,0.106,4.2,3.2,0.23879028109563163,0.2224799796987861,0.223,0.223,0.223,0.5,0,4.5,4.1,4.4,4.9,4.2,5.1,6,6,3.93,82,0
1990-03-06,wheat/winter wheat,1,1,0,1,0,53,0,0.106,4.2,3.2,0.23995795632026495,0.2223511472802495,0.223,0.223,0.223,1.5,0,5.9,5.2,4.9,5.1,5.1,6.6,8,7.3,3.8,83,0
1990-03-07,wheat/winter wheat,1,1,0,1,0,53,0,0.106,4.2,3.2,0.24105245028837471,0.22298605726859286,0.223,0.223,0.223,1.8,0,7.6,6.4,5.7,5.5,6.6,8.3,10,4.2,3.87,85,0
1990-03-08,wheat/winter wheat,1,1,0,1,0,53,0,0.106,4.2,3.2,0.23751722419806268,0.22221121425510929,0.223,0.223,0.223,0,0,8.8,7.6,6.5,6,6.4,9,12,2.7,9.34,73,0
1990-03-09,wheat/winter wheat,1,1,0,1,0,53,0,0.106,4.2,3.2,0.2411228059975459,0.22371444767577411,0.223,0.223,0.223,3.4,0,6.7,6.9,6.6,6.3,1.4,5.5,10,6.6,8.78,70,0
1990-03-10,wheat/winter wheat,1,1,0,1,0,53,0,0.106,4.2,3.2,0.24366190576835142,0.22580555077642495,0.226,0.225,0.225,4.9,0,6.4,6.6,6.5,6.4,2.6,6.5,10,4.6,3.93,85,0
1990-03-11,wheat/winter wheat,1,1,0,1,0,53,0,0.106,4.2,3.2,0.23732848635469664,0.22377068645832596,0.224,0.224,0.224,0,0,12.1,9.5,7.8,7,8.6,13.2,18,4.8,13.51,68,0
1990-03-12,wheat/winter wheat,1,1,0,1,0,53,0,0.106,4.2,3.2,0.23401385968718014,0.22207317705816468,0.223,0.223,0.223,0,0,9.4,9.2,8.2,7.5,2.5,6.6,11,3.6,15.42,69,0
1990-03-13,wheat/winter wheat,2,1,0.02,1,0,56.6,0,0.106,4.2,3.2,0.23222714210259657,0.22087184159331344,0.222,0.222,0.223,0,0,7.2,7.9,7.9,7.6,0,4.9,10,1.2,12.37,75,0
1990-03-14,wheat/winter wheat,2,1,0.02,1,0,60.6,0,0.1132,4.2,3.2,0.2312549456827544,0.22000715556219438,0.221,0.221,0.222,0.2,0,7.7,7.8,7.7,7.6,1.5,7,13,1.3,10.51,78,0
1990-03-15,wheat/winter wheat,2,1,0.03,1,0,65.4,0,0.1211,4.2,3.2,0.2293860346107639,0.21934683653435882,0.22,0.221,0.221,0,0,9.7,8.8,8.1,7.8,0.5,7.7,15,0.8,16.33,75,0
1990-03-16,wheat/winter wheat,2,1,0.04,1,0,71.1,0,0.1307,4.2,3.2,0.2271712633895485,0.21881890797200854,0.22,0.22,0.221,0,0,11.8,10.2,8.9,8.2,1.8,9.4,17,1.1,17.66,68,0
1990-03-17,wheat/winter wheat,2,1,0.05,0.99,0,77.5,0,0.1419,4.3,3.2,0.22498769519373005,0.21838759203719826,0.219,0.22,0.22,0,0,13.7,11.8,10,8.9,2.5,10.9,19,0.6,18,63,0
1990-03-18,wheat/winter wheat,2,1,0.06,0.99,0,84.6,0,0.1546,4.3,3.2,0.22248755615428703,0.21802820337760154,0.219,0.22,0.22,0,0,15,13.1,11,9.7,3.3,11.8,20,0.9,18.26,58,0
1990-03-19,wheat/winter wheat,2,1,0.1,0.98,0,92.8,0,0.1687,4.3,3.2,0.21840573646735248,0.21771327827356793,0.219,0.219,0.22,0,0,15.9,14.2,12,10.6,7.2,13.5,20,3.4,17.19,54,0
1990-03-20,wheat/winter wheat,2,1,0.05,0.97,0,99,0,0.185,4.3,3.2,0.2185516218825717,0.2174756215123025,0.219,0.219,0.219,0.6,0,12.7,13,12,10.9,9,11.2,13,3.8,6.17,75,0
1990-03-21,wheat/winter wheat,2,1,0.05,0.96,0,105.4,0,0.1972,4.3,3.2,0.2167127952287459,0.2172777941041221,0.218,0.219,0.219,0,0,12,12.2,11.7,11,8.3,11.4,15,3.6,5.84,76,0
1990-03-22,wheat/winter wheat,2,1,0.04,0.95,0,111.6,0,0.21,4.3,3.2,0.22928539938961526,0.21711611157057742,0.218,0.218,0.219,4.1,0,10.7,11.3,11.3,10.9,6,9.8,14,3.2,4.76,84,0
1990-03-23,wheat/winter wheat,2,1,0.07,0.94,0,119.9,0,0.2223,4.3,3.2,0.22701715799361688,0.216967656649919,0.218,0.218,0.219,0,0,9.1,10.1,10.6,10.6,3.2,7.3,11,3.2,13.25,68,0
1990-03-24,wheat/winter wheat,2,1,0.08,0.92,0,128.7,0,0.2389,4.3,3.2,0.22594330613064914,0.21683658674260645,0.218,0.218,0.218,0.4,0,8.5,9.3,10,10.2,3.4,7.3,11,4.6,13.01,69,0
1990-03-25,wheat/winter wheat,2,1,0.05,0.91,0,136,0,0.2562,4.3,3.2,0.23384093247304613,0.21673155934022906,0.218,0.218,0.218,2.7,0,5.7,7.5,8.9,9.5,1.5,3.8,6,4.1,11.01,80,0
1990-03-26,wheat/winter wheat,2,1,0.05,0.89,0,144.2,0,0.2707,4.3,3.2,0.23637328874980293,0.21663860682307945,0.217,0.218,0.218,1.1,0,6,6.9,8.2,8.8,2.1,5.3,9,1.9,11.25,85,0
1990-03-27,wheat/winter wheat,2,1,0.05,0.87,0,152.1,0,0.2871,4.3,3.2,0.23803040735700612,0.21676136649702257,0.217,0.218,0.218,0.9,0,5.6,6.5,7.6,8.3,2.8,5.3,8,3,8.29,85,0
1990-03-28,wheat/winter wheat,2,1,0.05,0.86,0,159.6,0,0.3028,4.4,3.2,0.23654695082820923,0.21704004243251643,0.217,0.218,0.218,0,0,5.1,6,7.1,7.8,2.7,4.8,7,3.5,5.82,80,0
1990-03-29,wheat/winter wheat,2,1,0.08,0.84,0.2,169.5,0,0.3176,4.4,3.3,0.23444389008465585,0.21725354774356634,0.217,0.217,0.218,0,0,7,6.7,7.1,7.6,4.6,7.8,11,2.8,10.16,78,0
1990-03-30,wheat/winter wheat,2,1,0.12,0.82,0.4,180.9,0,0.3373,4.5,3.3,0.23190588990695957,0.21732057285273546,0.217,0.217,0.218,0,0,8.4,7.7,7.5,7.6,0,6.1,12,1.7,20.35,75,0
1990-03-31,wheat/winter wheat,2,1,0.13,0.79,0.8,193.8,0,0.3598,4.5,3.3,0.2293429887912455,0.21728422661387858,0.217,0.217,0.218,0,0,10.6,9.3,8.3,8,1.7,8.2,15,1.4,20.31,84,0
1990-04-01,wheat/winter wheat,2,1,0.17,0.77,1.4,208.4,0,0.3854,4.9,3.5,0.22629055702098486,0.21717961339489347,0.217,0.217,0.217,0,0,13.7,11.5,9.6,8.7,1.5,10.7,20,1.1,20.03,72,0
1990-04-02,wheat/winter wheat,2,1,0.25,0.76,2.2,225,0,0.4141,5.1,3.6,0.22205970425583388,0.21705466009080107,0.217,0.217,0.217,0,0,15.6,13.3,11,9.7,5,12.7,20,2.5,21.29,59,0
1990-04-03,wheat/winter wheat,2,1,0.12,0.74,2.7,236.8,0,0.4469,5.5,3.8,0.23802205282802302,0.21713284789901177,0.217,0.217,0.217,5.4,0,11.3,11.8,11,10.1,2.3,8.2,14,3.5,8.56,76,0
1990-04-04,wheat/winter wheat,2,1,0.12,0.74,2.9,249.1,0,0.47,5.6,3.9,0.23870711548782864,0.21811028068674898,0.217,0.217,0.217,1.1,0,7.6,9.4,10,9.9,-0.4,3.5,7,3.4,17.07,75,0
1990-04-05,wheat/winter wheat,2,1,0.15,0.72,3,261,0,0.494,5.9,4,0.2358522344123067,0.21861329648789463,0.217,0.217,0.217,0,0,6.5,7.9,9,9.4,-3.6,2.3,8,0.7,20.99,68,0
1990-04-06,wheat/winter wheat,2,1,0.18,0.72,3.3,274.8,0,0.5172,6.1,4.1,0.23296575206869494,0.21860802354193085,0.218,0.217,0.217,0,0,6.8,7.5,8.5,8.9,-2.5,4,10,3.2,19.71,65,0
1990-04-07,wheat/winter wheat,2,1,0.24,0.71,3.9,290.1,0,0.5443,6.3,4.2,0.22970939955089162,0.21831520480527353,0.218,0.218,0.217,0,0,7.4,7.6,8.2,8.6,0.2,5,10,4.7,20.59,59,0
1990-04-08,wheat/winter wheat,2,1,0.24,0.69,4.4,305.3,0,0.5741,6.4,4.3,0.22670736939319647,0.21792827550620028,0.218,0.218,0.217,0,0,7.1,7.5,8,8.3,-0.4,4.3,9,4.8,19.96,58,0
1990-04-09,wheat/winter wheat,2,1,0.26,0.67,4.7,319.8,0,0.6036,6.8,4.4,0.2236152485958747,0.21753266620079556,0.218,0.218,0.218,0,0,7.1,7.4,7.8,8.1,-2.8,3.2,9,4,23.6,50,0
1990-04-10,wheat/winter wheat,2,1,0.23,0.67,5.1,334.4,0,0.6318,7,4.6,0.22630163881347695,0.21719795623345164,0.218,0.218,0.218,1.6,0,7.6,7.6,7.8,8,-5.3,2.9,11,1.4,22.39,52,0
1990-04-11,wheat/winter wheat,2,1,0.16,0.66,6.2,351.5,0,0.6602,7.1,4.6,0.2426483177847857,0.222588934539962,0.22,0.219,0.218,7.6,0,7.4,7.5,7.8,7.9,3.8,6.5,9,3.8,14.42,85,0
1990-04-12,wheat/winter wheat,2,1,0.21,0.64,7.5,369.4,0,0.6932,7.2,4.7,0.2403350914191321,0.22349521640688652,0.223,0.222,0.221,1.4,0,7.9,7.8,7.8,7.9,3.4,7.3,11,1.4,14.46,71,0
1990-04-13,wheat/winter wheat,2,1,0.16,0.61,9.3,385.3,0,0.7274,7.3,4.7,0.23862268913467136,0.2225103039518093,0.223,0.223,0.222,0.6,0,8.1,8,7.9,7.9,5.6,8.5,11,2.2,7.36,79,0
1990-04-14,wheat/winter wheat,2,1,0.16,0.59,11,401.4,0,0.7576,7.3,4.7,0.24125981472560465,0.223239179517409,0.223,0.223,0.223,2.6,0,8.2,8.1,8,8,3.6,8.3,13,2.7,8.26,83,0
1990-04-15,wheat/winter wheat,2,1,0.18,0.57,12.3,417.7,0,0.7881,7.4,4.8,0.24012237643306755,0.22304429268508433,0.223,0.223,0.223,1.2,0,7.3,7.6,7.9,7.9,2.4,5.8,9,4.2,11.91,82,0
1990-04-16,wheat/winter wheat,2,1,0.24,0.55,13.6,436.1,0,0.8186,7.5,4.8,0.23932094385039604,0.22267561841632486,0.223,0.223,0.223,1.3,0,7.5,7.6,7.8,7.9,1.9,6,10,2.8,17.84,82,0
1990-04-17,wheat/winter wheat,2,1,0.24,0.53,14.9,454,0,0.853,7.6,4.9,0.24043848628771658,0.2230962279118661,0.223,0.223,0.223,2.2,0,7.5,7.6,7.7,7.8,1.3,5.6,10,2.3,17.1,82,0
1990-04-18,wheat/winter wheat,2,1,0.24,0.51,16.1,470.8,0,0.8861,7.6,4.9,0.2408105714893124,0.22357449379509597,0.224,0.223,0.223,2.2,0,7.5,7.6,7.7,7.8,-0.7,5,11,0.8,15.97,78,0
1990-04-19,wheat/winter wheat,2,1,0.25,0.5,18.2,489.2,0,0.9171,7.7,4.9,0.24324250329445718,0.22612142932219279,0.226,0.226,0.226,6.2,0,8,7.8,7.8,7.8,3.6,7.3,11,1.1,14.65,84,0
1990-04-20,wheat/winter wheat,2,1,0.46,0.48,21.3,513.4,0,0.9507,8.2,5.2,0.24063742868342586,0.22518017678777055,0.226,0.226,0.226,3.2,0,10.5,9.2,8.4,8.1,6.1,10.4,15,3.9,21.98,77,0
1990-04-21,wheat/winter wheat,2,1,0.39,0.48,24.6,536.6,0,0.9941,8.5,5.3,0.23934692535519664,0.2236759753132184,0.224,0.225,0.225,1.8,0,12,10.5,9.3,8.6,4.4,10.6,17,2.8,17.98,81,0
1990-04-22,wheat/winter wheat,2,1,0.4,0.47,27.9,560.5,0,1.0353,8.6,5.4,0.23644722287618655,0.22197545002924032,0.223,0.223,0.224,0.5,0,12.5,11.3,10,9.2,5,10.4,16,2.5,18.32,82,0
1990-04-23,wheat/winter wheat,2,1,0.31,0.45,31,581.7,0,1.0769,8.8,5.5,0.2403616588853672,0.22241761764830856,0.223,0.223,0.223,2.9,0,11.7,11.3,10.3,9.6,6.8,9.7,13,3.4,13.63,86,0
1990-04-24,wheat/winter wheat,2,1,0.16,0.43,33.8,599,0,1.1134,8.8,5.5,0.2409788895656788,0.2227676522241374,0.223,0.223,0.223,1.6,0,10.3,10.6,10.2,9.7,6.1,8.4,11,2.7,6.82,93,0
1990-04-25,wheat/winter wheat,2,1,0.24,0.42,36.9,618.2,0,1.1428,8.9,5.6,0.23939693721166147,0.2223416438280205,0.223,0.223,0.223,0.8,0,10,10.2,10,9.7,6.7,9.3,12,2.4,10.3,91,0
1990-04-26,wheat/winter wheat,2,1,0.63,0.4,40.3,644,0,1.175,9,5.6,0.23420979230163516,0.22098942362193044,0.222,0.222,0.222,0,0,11.8,11,10.3,9.9,3.1,9.7,16,1.6,24.63,67,0
1990-04-27,wheat/winter wheat,2,1,0.4,0.38,42.9,663,0,1.2174,9.1,5.7,0.23928805208133372,0.22117988987755854,0.222,0.222,0.222,3,0,10.4,10.5,10.3,10,4.2,7.7,11,4.3,13.02,73,0
1990-04-28,wheat/winter wheat,2,1,0.44,0.37,45.2,681.9,0,1.2484,9.2,5.7,0.23559868024322808,0.22046429546645516,0.221,0.221,0.222,0,0,9.3,9.8,9.9,9.9,3,6.5,10,3,15.21,71,0
1990-04-29,wheat/winter wheat,2,1,0.63,0.36,49.2,706.4,0,1.2789,9.9,6.1,0.2315203320383252,0.21923530977149797,0.221,0.221,0.221,0,0,11.1,10.5,10.1,9.9,4.7,10.4,16,1.5,21.45,70,0
1990-04-30,wheat/winter wheat,2,1,0.81,0.38,54.4,737.2,0,1.3176,10.3,6.3,0.2267450022164479,0.2179363367042484,0.22,0.22,0.221,0,0,13.7,12.1,10.9,10.3,6.8,12.8,19,2.5,25.38,76,0
